epoch,train_loss,fit_threshold,val_auc,val_prauc,val_f1,val_landmark_auc,val_next_hyper_auc
1,1.9307498931884766,0.2699999999999999,0.5342960288808665,0.07868015808588535,0.1606425702811245,0.9324335311813968,0.8331502118976614
2,1.673268206914266,0.23999999999999988,0.6986344372939883,0.11776727201855743,0.21428571428571427,0.9517846979429222,0.838957777428975
3,1.3873843550682068,0.16999999999999993,0.7518442944592686,0.14079861040872393,0.24561403508771928,0.9634929669078788,0.8381729712760948
4,1.1784424702326457,0.15499999999999997,0.7810390833464134,0.1585207652940649,0.3050847457627119,0.9645499634116594,0.8370742426620624
5,1.0922455549240113,0.13499999999999995,0.7998744310155392,0.1871573219789795,0.2909090909090909,0.9634116594845109,0.8336210955893895
6,1.039673630396525,0.12499999999999996,0.8158844765342961,0.20095424109016402,0.3364485981308411,0.9665013415724855,0.83597551404803
7,0.9936091184616089,0.12999999999999995,0.8264008789828913,0.20628496709112942,0.36,0.9686966420034149,0.8362894365091822
8,0.9835599899291992,0.16499999999999992,0.8333071731282373,0.21165284439245535,0.3611111111111111,0.9705667127408731,0.8351907078951499
9,0.9444715658823649,0.14999999999999997,0.8373881651232146,0.21896055335192965,0.3146067415730337,0.97032279047077,0.8307957934390205
10,0.9684759537378947,0.14999999999999997,0.8405273897347355,0.2314631759731631,0.3111111111111111,0.9724367834783315,0.8296970648249882
11,0.9395912011464437,0.14499999999999996,0.8397425835818553,0.2352604938588327,0.2978723404255319,0.9719489389381251,0.8235755768325224
12,0.9539927959442138,0.13999999999999996,0.8362894365091822,0.23362170225177772,0.3010752688172043,0.9736563948288478,0.8168262439177523
13,0.9315384030342102,0.14999999999999997,0.8329932506670852,0.2359731914910823,0.2988505747126437,0.9745507764858932,0.8121174070004709
14,0.9118858218193054,0.15999999999999995,0.8284413749803798,0.274251949561692,0.28169014084507044,0.9742255467924221,0.805838957777429
15,0.8749344925085704,0.16999999999999993,0.8312666771307488,0.28958716740596835,0.29411764705882354,0.9740629319456866,0.8116465233087428
16,0.8902455409367879,0.16499999999999992,0.8282844137498038,0.28277573209330265,0.2777777777777778,0.9730059354419058,0.8172971276094805
17,1.1152883291244506,0.15499999999999997,0.8245173442159787,0.27953403664337784,0.2702702702702703,0.9736563948288478,0.8092921048501021
18,0.8807673851648966,0.16499999999999992,0.8271856851357714,0.2813505861291424,0.3188405797101449,0.9737377022522156,0.8103908334641343
19,0.8812801400820415,0.12999999999999995,0.8240464605242506,0.2788590711928527,0.2826086956521739,0.9752825432962029,0.8050541516245487
20,0.8516418317953746,0.12999999999999995,0.8216920420656098,0.276764598055822,0.29213483146067415,0.9741442393690544,0.8052111128551248
21,0.8299598207076391,0.13999999999999996,0.8218490032961858,0.27707365453194466,0.29545454545454547,0.9747946987559963,0.8083503374666459
22,0.8621969421704611,0.13499999999999995,0.8193376236069692,0.27669877678682214,0.25882352941176473,0.9743881616391576,0.8066237639303092
23,0.8948375662167867,0.13499999999999995,0.8158844765342961,0.2737366453825252,0.2619047619047619,0.9739816245223188,0.8017579657824517
24,0.8379369338353475,0.14499999999999996,0.8155705540731439,0.27718626485728715,0.3023255813953488,0.9742255467924221,0.8150996703814158
25,0.7968648662169774,0.13499999999999995,0.8088212211583738,0.27019040805574257,0.25882352941176473,0.9747133913326287,0.8133730968450793
26,0.8187515656153361,0.13999999999999996,0.8075655313137655,0.2730289524761221,0.2857142857142857,0.9734937799821123,0.8072516088526134
27,0.8050564408302308,0.11999999999999997,0.8042693454716685,0.25407908977929455,0.2828282828282828,0.9741442393690543,0.8036415005493643
