Feature,Source,CV_PR_AUC,Best_Params
Teacher_Cal,Teacher_Prob,0.19047053641001344,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
LandmarkSignal_Cal,Landmark_Signal,0.11107442933098387,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
LandmarkProb_Cal,Landmark_Prob,0.13882722778849452,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
NextHyper_Cal,NextHyper_Prob,0.2604112335153063,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
