Feature,Source,CV_PR_AUC,Best_Params
Teacher_Cal,Teacher_Prob,0.30677141305596684,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
LandmarkSignal_Cal,Landmark_Signal,0.11603836933577334,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
LandmarkProb_Cal,Landmark_Prob,0.13641091334306918,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
NextHyper_Cal,NextHyper_Prob,0.3272991387061123,"{'clf__l1_ratio': 0.5, 'clf__C': 5}"
