Split,Model,Target,MAE,RMSE,R2
Train_OOF,Ridge,FT3_Next,1.093721773566542,2.2914122714557497,0.01521028012106862
Train_OOF,Ridge,FT4_Next,2.2792188842607533,3.8977462868577497,-0.03482858633593833
Train_OOF,Ridge,logTSH_Next,0.76656029705023,1.0402316001325027,-0.0015554365648966506
Train_OOF,Ridge,Average,1.3798336516258418,2.4097967194820007,-0.00705791425992212
Train_OOF,ElasticNet,FT3_Next,1.0758634373384335,2.2781027965359475,0.026617191648788396
Train_OOF,ElasticNet,FT4_Next,2.2574520586785045,3.8816401187527982,-0.026294071148986964
Train_OOF,ElasticNet,logTSH_Next,0.7554345133168281,1.0256638782695962,0.0263003158395545
Train_OOF,ElasticNet,Average,1.362916669777922,2.395135597852781,0.00887447877978531
Train_OOF,RandomForest,FT3_Next,0.9846223485619482,2.196460413266903,0.0951349835540164
Train_OOF,RandomForest,FT4_Next,2.138953846231757,3.791867644687778,0.020628134145684984
Train_OOF,RandomForest,logTSH_Next,0.7431492057159272,1.025846561324841,0.02595342973367687
Train_OOF,RandomForest,Average,1.288908466836544,2.3380582064265076,0.047238849144459416
Train_OOF,ExtraTrees,FT3_Next,0.9857809010015353,2.1964486903566853,0.09514464238781584
Train_OOF,ExtraTrees,FT4_Next,2.190619343205264,3.83664571579913,-0.002639197337892085
Train_OOF,ExtraTrees,logTSH_Next,0.7444184137723473,1.018761556847699,0.039361464188679585
Train_OOF,ExtraTrees,Average,1.3069395526597154,2.3506186543345047,0.04395563641286778
Train_OOF,RandomForest_ByWindow,FT3_Next,0.9985524635334982,2.205375365978176,0.08777477844368464
Train_OOF,RandomForest_ByWindow,FT4_Next,2.2033392269684176,3.8539002822301867,-0.011677825267517594
Train_OOF,RandomForest_ByWindow,logTSH_Next,0.7632751684525513,1.046037004075268,-0.012765745303593867
Train_OOF,RandomForest_ByWindow,Average,1.3217222863181557,2.3684375507612105,0.02111040262419106
Train_OOF,ExtraTrees_ByWindow,FT3_Next,0.9989448297928646,2.216711932150773,0.07837222357350082
Train_OOF,ExtraTrees_ByWindow,FT4_Next,2.2414173950601097,3.895860821843326,-0.03382766886258737
Train_OOF,ExtraTrees_ByWindow,logTSH_Next,0.7601572826769782,1.0371450664610653,0.004379296308257952
Train_OOF,ExtraTrees_ByWindow,Average,1.3335065025099844,2.3832392734850547,0.016307950339723803
Train_OOF,EnsembleMean,FT3_Next,0.988029187693306,2.1976795948471937,0.09413018426215647
Train_OOF,EnsembleMean,FT4_Next,2.1409775673922433,3.7934736989918565,0.019798328015433908
Train_OOF,EnsembleMean,logTSH_Next,0.7384027967159692,1.0098259025206018,0.05613926382656764
Train_OOF,EnsembleMean,Average,1.289136517267173,2.3336597321198838,0.056689258701386004
Test,EnsembleMean,FT3_Next,1.139481769660197,2.836053329638257,0.10458350979552256
Test,EnsembleMean,FT4_Next,2.317117547783466,4.296353859447702,0.07646806349660695
Test,EnsembleMean,logTSH_Next,0.734181972415219,1.0167488632846695,0.034968455062770465
Test,EnsembleMean,Average,1.3969270966196274,2.7163853507902096,0.07200667611829999
