Interval_Name,From_State,N,P_to_Hyper,P_to_Normal,P_to_Hypo
0M->1M,Hyper,795,0.5877192982456141,0.35463659147869675,0.05764411027568922
1M->3M,Hyper,468,0.416135881104034,0.2802547770700637,0.3036093418259023
1M->3M,Normal,282,0.21052631578947367,0.5052631578947369,0.28421052631578947
1M->3M,Hypo,45,0.08333333333333333,0.5208333333333334,0.3958333333333333
3M->6M,Normal,298,0.132890365448505,0.7574750830564784,0.10963455149501661
3M->6M,Hyper,257,0.6576923076923077,0.25769230769230766,0.08461538461538462
3M->6M,Hypo,240,0.09053497942386832,0.6995884773662552,0.20987654320987653
6M->12M,Normal,462,0.09247311827956989,0.8731182795698925,0.034408602150537634
6M->12M,Hyper,230,0.7339055793991416,0.22317596566523606,0.04291845493562232
6M->12M,Hypo,103,0.08490566037735849,0.5471698113207547,0.36792452830188677
12M->18M,Normal,513,0.03682170542635659,0.9263565891472868,0.03682170542635659
12M->18M,Hyper,220,0.7802690582959642,0.19282511210762332,0.026905829596412557
12M->18M,Hypo,62,0.09230769230769231,0.36923076923076925,0.5384615384615384
18M->24M,Normal,542,0.022018348623853212,0.9577981651376147,0.02018348623853211
18M->24M,Hyper,196,0.8743718592964824,0.10552763819095477,0.020100502512562814
18M->24M,Hypo,57,0.08333333333333333,0.26666666666666666,0.65
