Group,Interval_Name,n,positives,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
direct_anchor_ref,1M->3M,68,17,0.5155709342560555,0.2570337976018656,0.20536639258340703,-1.203840034613455,-0.07174796997704239
direct_anchor_ref,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.11178735802895458,-0.7099413948762376,0.7119547578044194
direct_anchor_ref,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.053025841441986535,0.2992656288353945,1.4276534760644897
direct_anchor_ref,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.01806775175868281,-2.0484456535472395,0.6510480428013774
direct_anchor_ref,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.02249408079822348,2.0494844017884755,1.7223862586568122
current_champion_ref,1M->3M,68,17,0.5271049596309112,0.26118053041308664,0.19192109727589507,-0.6886252533465922,0.2925793398258314
current_champion_ref,3M->6M,71,10,0.6508196721311476,0.4459020039566043,0.10981464956638393,0.006932542392655315,1.0349891079843954
current_champion_ref,6M->12M,110,8,0.8651960784313726,0.4503940308517773,0.05563767809397102,1.4803342628647425,2.010202934803413
current_champion_ref,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.017737723727888236,-1.9233552722754481,0.7119491662241803
current_champion_ref,18M->24M,137,4,0.9530075187969925,0.4930555555555556,0.023287154395061627,2.912707506835327,2.118355035350287
champion_sidecar_calibrated,1M->3M,68,17,0.5271049596309112,0.26118053041308664,0.1918307206661376,-0.6703136542146971,0.3017780179344832
champion_sidecar_calibrated,3M->6M,71,10,0.6508196721311476,0.4459020039566043,0.11046262595804475,0.19364698811673633,1.1742921575194136
champion_sidecar_calibrated,6M->12M,110,8,0.8651960784313726,0.4503940308517773,0.0566079498630741,1.8444348115588298,2.2805865857895036
champion_sidecar_calibrated,12M->18M,128,2,0.75,0.04503676470588235,0.017151926905067533,-1.8151331298376507,0.7169140638336639
champion_sidecar_calibrated,18M->24M,137,4,0.9530075187969925,0.4930555555555556,0.023591134486763355,3.1180501908047678,2.0860846768676113
direct_windowed_core,1M->3M,68,17,0.5282583621683967,0.26045847237612757,0.19138197426450024,-0.7079000513752569,0.2890319296356432
direct_windowed_core,3M->6M,71,10,0.6540983606557378,0.4518790154508572,0.10895032972930327,0.05759801777267179,1.0942233587663739
