Risk_Group,N,Events,Observed,Observed_CI_Low,Observed_CI_High,Predicted
Q1,41,3,0.07317073170731707,0.02519783063390993,0.19427448537719041,0.10264195701231033
Q2,52,13,0.25,0.15233153863595772,0.3820645794259735,0.20963210423330245
Q3,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.2877891943641307
Q4,37,16,0.43243243243243246,0.28671719277157315,0.5908581890983192,0.38526599455965704
