Backbone_Run,Backbone_Source,Gate_Mode,Gate_Temperature,Gate_Side_Cap,Gate_Global_Floor,SearchStage,Experiment_ID,Experiment,PackName,ModelFamily,ComplexityScore,Features,CV_PR_AUC,Val_AUC,Val_PR_AUC,Val_F1,Val_Threshold,Test_AUC,Test_PR_AUC,Test_F1,Test_Recall,Test_Specificity,Test_C_Index,Best_Params,Status,ComponentModels
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_only_raw_cal::elastic_lr_dense_fixed,teacher_only_raw_cal__elastic_lr_dense_fixed,teacher_only_raw_cal,elastic_lr_dense_fixed,2,2,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.22999999999999993,0.778631464961584,0.20565758790479746,0.1724137931034483,0.12195121951219512,0.9746300211416491,0.6983339241403758,,ok,
global_floor_040,retrained,global_floor,1.0,,0.4,ensemble,global_floor_040::stack_elastic_top3,stack_elastic_top3,top3_stack,stack_elastic,4,3,0.21810474568954052,0.8295401035944122,0.34943794265680206,0.3888888888888889,0.22499999999999992,0.778631464961584,0.20565758790479746,0.14035087719298245,0.0975609756097561,0.9746300211416491,0.6983339241403758,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
global_floor_040,retrained,global_floor,1.0,,0.4,ensemble,global_floor_040::rank_average_top3,rank_average_top3,top3_rank_average,rank_average,5,3,0.18731487653265413,0.8295401035944122,0.34943794265680206,0.3333333333333333,0.6999999999999997,0.778631464961584,0.20565758790479746,0.2857142857142857,0.6829268292682927,0.7315010570824524,0.6983339241403758,,ok,teacher_only_cal__elastic_lr_sparse_fixed|teacher_only_cal__elastic_lr_dense_fixed|teacher_only_raw_cal__elastic_lr_sparse_fixed
softmax_free,retrained,softmax_free,1.0,,,wide,softmax_free::teacher_landmark_raw_cal::elastic_lr_sparse_fixed,teacher_landmark_raw_cal__elastic_lr_sparse_fixed,teacher_landmark_raw_cal,elastic_lr_sparse_fixed,2,4,0.1864305511844324,0.8240464605242505,0.347276548191397,0.41509433962264153,0.16999999999999993,0.7991027690403755,0.2662260409105082,0.29473684210526313,0.34146341463414637,0.9154334038054969,0.7541651896490607,,ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_gate_raw::lr_balanced,teacher_landmark_gate_raw__lr_balanced,teacher_landmark_gate_raw,lr_balanced,1,5,0.29508107043033155,0.8427248469628001,0.3445652603598427,0.43333333333333335,0.7449999999999997,0.8292167276852473,0.28999761974650945,0.36538461538461536,0.4634146341463415,0.9069767441860465,0.728465083303793,{'clf__C': 0.1},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_gate_raw::lr,teacher_landmark_gate_raw__lr,teacher_landmark_gate_raw,lr,1,5,0.25422666365134444,0.8546539004865799,0.3441708658232818,0.3888888888888889,0.14999999999999997,0.8378280822977363,0.25434943155980105,0.34285714285714286,0.5853658536585366,0.8414376321353065,0.7470755051400213,{'clf__C': 0.05},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.39285714285714285,0.15499999999999997,0.8261228278244728,0.27417307416711717,0.32,0.3902439024390244,0.9090909090909091,0.7238567883729174,{'clf__C': 0.01},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.4074074074074074,0.7099999999999997,0.8261228278244728,0.27417307416711717,0.32323232323232326,0.3902439024390244,0.9112050739957717,0.7238567883729174,{'clf__C': 0.01},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.30677141305596684,0.832679328205933,0.34392213743085376,0.4074074074074074,0.2149999999999999,0.8261228278244728,0.27417307416711717,0.32323232323232326,0.3902439024390244,0.9112050739957717,0.7238567883729174,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_gate_raw::elastic_lr,teacher_landmark_gate_raw__elastic_lr,teacher_landmark_gate_raw,elastic_lr,2,5,0.29242325900514404,0.8409982734264636,0.34268427043652344,0.4406779661016949,0.18499999999999994,0.8298355076574022,0.28996693447369554,0.35294117647058826,0.43902439024390244,0.9090909090909091,0.7305919886565048,"{'clf__l1_ratio': 0.9, 'clf__C': 0.05}",ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.30608531894632934,0.842097002040496,0.34253761851408376,0.45614035087719296,0.7549999999999997,0.8298870726550818,0.2908465400662228,0.36,0.43902439024390244,0.9133192389006343,0.7311237149946828,{'clf__C': 5},ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.25481618601511824,0.8604614660178935,0.3396668784765514,0.43333333333333335,0.14999999999999997,0.8343216624555252,0.23669515098411636,0.34234234234234234,0.4634146341463415,0.8921775898520085,0.749911378943637,{'clf__C': 0.01},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_landmark_raw_cal::elastic_lr_sparse_fixed,teacher_landmark_raw_cal__elastic_lr_sparse_fixed,teacher_landmark_raw_cal,elastic_lr_sparse_fixed,2,4,0.21978337117289506,0.842253963271072,0.33927425394921334,0.3783783783783784,0.21999999999999992,0.7966276491517558,0.21860111788782038,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7206664303438497,,ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.39285714285714285,0.15499999999999997,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,{'clf__C': 0.01},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.3793103448275862,0.6999999999999997,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,{'clf__C': 0.01},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_only_raw::elastic_lr,teacher_only_raw__elastic_lr,teacher_only_raw,elastic_lr,2,1,0.31038618698336956,0.8447653429602888,0.3383523675870157,0.36666666666666664,0.2049999999999999,0.828030732738617,0.26782860550418797,0.32432432432432434,0.43902439024390244,0.8900634249471459,0.7133995037220844,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.22905048199242095,0.8458640715743211,0.33423195224957036,0.3888888888888889,0.7999999999999997,0.7975042541123085,0.22049678890486094,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7233250620347395,{'clf__C': 0.05},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.22808232281064622,0.8471197614189294,0.33372804151467883,0.35443037974683544,0.13499999999999995,0.7978136440983861,0.2205944045281768,0.2677165354330709,0.4146341463414634,0.854122621564482,0.7235023041474654,{'clf__C': 0.1},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,screen,global_floor_040::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.22570252116329992,0.845236226652017,0.33335312807878686,0.3888888888888889,0.2549999999999999,0.7971432991285515,0.22016837504310718,0.21052631578947367,0.14634146341463414,0.9788583509513742,0.7226160935838355,"{'clf__l1_ratio': 0.1, 'clf__C': 0.5}",ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_windowed_raw::lr,teacher_landmark_windowed_raw__lr,teacher_landmark_windowed_raw,lr,1,17,0.2438174198733025,0.8372312038926384,0.3328601079113478,0.4,0.18999999999999995,0.8182333831794977,0.2470271118414911,0.3333333333333333,0.4146341463414634,0.9069767441860465,0.7116270825948245,{'clf__C': 0.1},ok,
global_floor_040,retrained,global_floor,1.0,,0.4,wide,global_floor_040::teacher_landmark_raw_cal::lightgbm_small_fixed,teacher_landmark_raw_cal__lightgbm_small_fixed,teacher_landmark_raw_cal,lightgbm_small_fixed,3,4,0.19700499192969834,0.8400565060430073,0.33271572795263626,0.36666666666666664,0.18499999999999994,0.7718764502655597,0.18700667440398427,0.21176470588235294,0.21951219512195122,0.9260042283298098,0.6796348812477845,,ok,
side_cap_035,retrained,side_cap,1.0,0.35,,screen,side_cap_035::teacher_landmark_gate_raw::lr_balanced,teacher_landmark_gate_raw__lr_balanced,teacher_landmark_gate_raw,lr_balanced,1,5,0.25976080254341827,0.8555956678700362,0.3305189602555677,0.4,0.6499999999999997,0.8375702573093384,0.24476394023296427,0.36363636363636365,0.5853658536585366,0.8583509513742071,0.7453030840127615,{'clf__C': 0.01},ok,
softmax_free,retrained,softmax_free,1.0,,,ensemble,softmax_free::stack_elastic_top3,stack_elastic_top3,top3_stack,stack_elastic,4,3,0.17750095712280664,0.8414691571181918,0.32988248372004725,0.425531914893617,0.17499999999999993,0.7853864796576084,0.23620062580463247,0.2564102564102564,0.24390243902439024,0.9429175475687104,0.7330733782346686,"{'clf__l1_ratio': 0.7, 'clf__C': 0.05}",ok,teacher_landmark_raw_cal__elastic_lr_sparse_fixed|teacher_landmark_raw_cal__lightgbm_small_fixed|teacher_only_cal__elastic_lr_sparse_fixed
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_gate_raw::lr,teacher_landmark_gate_raw__lr,teacher_landmark_gate_raw,lr,1,5,0.2844178473589441,0.8458640715743211,0.3278922900290241,0.44,0.21999999999999992,0.8283401227246945,0.29551830457948997,0.3409090909090909,0.36585365853658536,0.9323467230443975,0.7332506203473945,{'clf__C': 0.05},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.30122258481038383,0.8461779940354732,0.3260829917443067,0.44,0.21999999999999992,0.8293198576806063,0.2996430568109404,0.3448275862068966,0.36585365853658536,0.9344608879492601,0.7304147465437788,{'clf__C': 0.05},ok,
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,screen,reuse_current_hard_cap_025::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.3011423025005185,0.8433526918851044,0.32568917253482754,0.43333333333333335,0.18999999999999995,0.8300417676481204,0.29717443316434855,0.3888888888888889,0.5121951219512195,0.9027484143763214,0.7321871676710386,"{'clf__l1_ratio': 0.5, 'clf__C': 5}",ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_landmark_windowed_raw::lr,teacher_landmark_windowed_raw__lr,teacher_landmark_windowed_raw,lr,1,17,0.19972934472360282,0.8306388322084446,0.325338919609843,0.4057971014492754,0.15999999999999995,0.7945134842468932,0.2833732558216063,0.33043478260869563,0.4634146341463415,0.8837209302325582,0.7585962424672102,{'clf__C': 0.05},ok,
