Backbone_Run,Source,Gate_Mode,Gate_Temperature,Gate_Side_Cap,Gate_Global_Floor,Checkpoint,Best_Epoch,Best_Pretrain_Val_PR_AUC,TeacherHead_Val_AUC,TeacherHead_Val_PR_AUC,TeacherHead_Test_AUC,TeacherHead_Test_PR_AUC,TeacherHead_Threshold,Gate_Static_Mean_Val,Gate_Local_Mean_Val,Gate_Global_Mean_Val,Gate_Static_Std_Val,Gate_Local_Std_Val,Gate_Global_Std_Val,Gate_Static_CapHit_Val,Gate_Local_CapHit_Val,Gate_Global_Min_Val,GateCollapsed,EligibleWideSearch,Screen_Best_Val_PR_AUC,Wide_Best_Val_PR_AUC,SelectedForWide
side_cap_035,retrained,side_cap,1.0,0.35,,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_side_cap_035.pkl,8,0.3643190766455836,0.8565374352534925,0.3643190766455836,0.8362295673696695,0.22933853677572583,0.19499999999999995,0.34868094325065613,0.34992003440856934,0.30139896273612976,0.009412480518221855,0.000691510911565274,0.009426668286323547,0.97,0.98,0.2999999225139618,False,True,0.3643190766455836,0.3643190766455836,True
global_floor_040,retrained,global_floor,1.0,,0.4,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_global_floor_040.pkl,6,0.34943794265680206,0.8295401035944122,0.34943794265680206,0.778631464961584,0.20565758790479746,0.21999999999999992,0.1386079490184784,0.46139204502105713,0.40000006556510925,0.10221471637487411,0.10221470892429352,5.960464477539063e-08,,,0.4000000059604645,False,True,0.37213450836726075,0.34943794265680206,True
reuse_current_hard_cap_025,reuse_current,side_cap,1.0,0.25,,results/relapse_teacher_frozen_fuse/Pretrained_Backbone.pkl,21,0.34392213743085376,0.832679328205933,0.34392213743085376,0.8261228278244728,0.27417307416711717,0.18499999999999994,0.2427605241537094,0.2453256994485855,0.5119137763977051,0.024368347600102425,0.022006211802363396,0.031786952167749405,0.8566666666666667,0.93,0.49999988079071045,False,True,0.3445652603598427,,False
global_floor_050,retrained,global_floor,1.0,,0.5,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_global_floor_050.pkl,19,0.3383523675870157,0.8447653429602888,0.3383523675870157,0.828030732738617,0.26782860550418797,0.17499999999999993,0.1870354264974594,0.3129645884037018,0.5,0.18797285854816437,0.18797285854816437,0.0,,,0.5,False,True,0.3383523675870157,,False
softmax_free,retrained,softmax_free,1.0,,,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_softmax_free.pkl,3,0.31538491438318944,0.7709935645895464,0.31538491438318944,0.7781158149847883,0.25813679226231795,0.10499999999999998,0.47733306884765625,0.4324176013469696,0.09024930000305176,0.06609440594911575,0.07822472602128983,0.04532730579376221,,,0.028776010498404503,False,True,0.3575598743826772,0.347276548191397,True
softmax_temp_070,retrained,softmax_free,0.7,,,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_softmax_temp_070.pkl,3,0.2972051725370929,0.8242034217548265,0.2972051725370929,0.8169958232351879,0.23237525754104094,0.13999999999999996,0.289359450340271,0.5776594877243042,0.13298103213310242,0.07264886796474457,0.1613619029521942,0.10273972898721695,,,0.02228810079395771,False,True,0.3185432098802718,,False
softmax_temp_130,retrained,softmax_free,1.3,,,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_softmax_temp_130.pkl,5,0.2822284703006252,0.8125882906921991,0.2822284703006252,0.8219976280101068,0.2120409910775096,0.08999999999999998,0.44657760858535767,0.33843380212783813,0.2149885594844818,0.03732002153992653,0.041713081300258636,0.03400956839323044,,,0.11376848816871643,False,True,0.28420164578186013,,False
hard_cap_025,retrained,side_cap,1.0,0.25,,results/relapse_teacher_frozen_fuse/backbones/Pretrained_Backbone_hard_cap_025.pkl,15,0.28958716740596835,0.8312666771307488,0.28958716740596835,0.8355076574021554,0.24277544565123146,0.09999999999999998,0.25,0.25,0.5,0.0,0.0,2.914945440579686e-08,1.0,1.0,0.49999991059303284,True,False,0.29180333690843707,,False
