Feature,Coefficient,AbsCoefficient
Teacher_Logit,0.5508842981510519,0.5508842981510519
Gate_Static,0.26813534176269893,0.26813534176269893
Gate_Local,-0.268135249642692,0.268135249642692
Landmark_Signal,0.15991561006641555,0.15991561006641555
