Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.8507708967153096,0.329514855542335,0.09533196604428971,0.7317073170731707,0.8033826638477801
Exclude_1M_3M,446,24,0.8546603475513429,0.35260481409667904,0.0725308016654285,0.625,0.8696682464454977
Exclude_12Mplus,249,35,0.7785046728971963,0.3444843114097783,0.15614414540936708,0.8285714285714286,0.6121495327102804
Only_3Mplus,446,24,0.8546603475513429,0.35260481409667904,0.0725308016654285,0.625,0.8696682464454977
