Metric,Delta,CI_Low,CI_High,OneSided_p,Compare_To,Variant
PR_AUC,0.004861478536796472,-0.051168110883056915,0.05655762155530693,0.42528735632183906,Direct,c2_interval_slope_ranked
AUC,0.009622902318659327,-0.021838060723960093,0.034626858111094234,0.22688655672163918,Direct,c2_interval_slope_ranked
