Aggregation,Threshold,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
Product_AnyRisk,0.49000000000000005,0.7206413730803974,0.3888535692738472,0.2769038540860869,0.8333333333333334,0.4796747967479675,-1.5772751269474616,0.6359356241141655
Max_Interval_Risk,0.37000000000000005,0.7741644083107497,0.5245785768516327,0.17839229485700484,0.8888888888888888,0.5284552845528455,-0.9842594942860576,1.2680453019275701
Mean_Interval_Risk,0.27,0.7965221318879856,0.6309159821167154,0.13423799338687978,0.75,0.7154471544715447,0.1696520574563907,1.5306151820441682
