Stage,Variant,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
Outer_Iter1,c2_interval_slope,0.843087712061053,0.3215752851413565,0.1079851805949575,-1.6907586224021676,1.0673012873346452
Outer_Iter2,c2_interval_slope_ranked,0.8507708967153096,0.329514855542335,0.0953319660442897,-1.4212455412282166,1.262147172433599
Direct_Anchor,direct_anchor_Logistic_Reg.,0.8415407621306656,0.3305069257476369,0.064453348188354,-0.1202343510441053,1.0277517463793855
Current_Best_TwoStage,current_binary_stage1_reference / Elastic LR,0.8509255917083485,0.3501424998328119,0.0630351309420655,0.7447738628045296,1.4680530253572284
