Candidate,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
Direct_Anchor,0.8415407621306656,0.3305069257476369,0.064453348188354,-0.1202343510441053,1.0277517463793855
c2_interval_slope_ranked,0.8507708967153096,0.329514855542335,0.0953319660442897,-1.4212455412282166,1.262147172433599
c2_anchor_slope_ranked_tight,0.846594131903264,0.328018004290715,0.0701815280631359,-0.7829527544643186,0.9183488678453414
c2_anchor_slope_mid,0.8435002320424896,0.3247460059644904,0.0715127622040195,-0.8315690060320313,0.8920073533062838
Current_Best_TwoStage,0.8509255917083485,0.3501424998328119,0.0630351309420655,0.7447738628045296,1.4680530253572284
