Variant,Restart,Seed,OOF_PR_AUC,OOF_AUC,Test_AUC,Test_PR_AUC,Test_Brier,Cal_Intercept,Cal_Slope,Threshold
c2_interval_slope_ranked,0,2026,0.2043271972574469,0.789954646367564,0.8399938122002785,0.3123510554285882,0.09369720684250925,-1.4405351903775003,1.07189195136456,0.45999999999999996
c2_interval_slope_ranked,1,2027,0.23305852492932982,0.8009967358895546,0.8479863868406126,0.30475179581861345,0.09526867028166595,-1.3872768245895002,1.2524450482454978,0.38999999999999996
c2_interval_slope_ranked,2,2028,0.17381958981228943,0.7401669824327602,0.8460784819264683,0.33387248439940276,0.09465499344365336,-1.45490646002436,1.1374281468867273,0.43999999999999995
c2_interval_slope_ranked,3,2029,0.23985782730013075,0.804997804478863,0.8427783220749756,0.2960157595665357,0.09509037304576724,-1.4227711512070396,1.1477030020236367,0.31999999999999995
c2_anchor_slope_ranked_tight,0,2026,0.20553149583711633,0.7980796099034893,0.8455628319496725,0.3138521440930692,0.0726814311263269,-0.9225523023579278,0.8169212533871807,0.24999999999999994
c2_anchor_slope_ranked_tight,1,2027,0.19915057421187649,0.7931819089058321,0.8384984272675708,0.30063588745070624,0.07475188459937789,-1.0256653487348582,0.7385039947296448,0.21999999999999995
c2_anchor_slope_ranked_tight,2,2028,0.20665551465643367,0.7988134973884046,0.8475223018614964,0.3251024586791807,0.07159487587100113,-0.8481620762652303,0.8960050340496176,0.18999999999999997
c2_anchor_slope_ranked_tight,3,2029,0.2046775454636662,0.8012331766273725,0.8425720620842572,0.31400352384516855,0.07234644043257887,-0.8986683965080398,0.8365966099716455,0.16999999999999996
