Variant,Family,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold,Epochs,Aux_Target,Calibration_Mode,Round,StopRule_Hits
c2_interval_slope_windowcal,c2,0.8277729077502192,0.2602345237155223,0.06536781289668174,0.7804878048780488,0.7864693446088795,0.38285469551359996,1.1213119570137857,0.10999999999999999,40,full,window_intercept,Round2,3
c2_interval_slope_ranked,c2,0.8507708967153096,0.329514855542335,0.09533196604428971,0.7317073170731707,0.8033826638477801,-1.4212455412282166,1.262147172433599,0.36,96,full,none,Round2,2
c2_interval_slope_ranked_calibrated,c2,0.8439643170216058,0.30899505776696895,0.06378357076496007,0.6341463414634146,0.8202959830866807,0.8005802281485852,1.485317186867121,0.12999999999999998,86,full,global,Round2,2
c2_early_late_slope,c2,0.8416954571237043,0.3046362079664834,0.0960533259873597,0.6585365853658537,0.8350951374207188,-1.3686480863207857,1.2757254103895772,0.39999999999999997,80,early_late,none,Round2,2
c2_interval_slope,c2,0.8389625122466869,0.30414038251536646,0.09536117819648038,0.5121951219512195,0.879492600422833,-1.4511197258442905,1.0865160797810025,0.45999999999999996,93,full,none,Round2,1
