Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.8277729077502192,0.2602345237155223,0.06536781289668174,0.7804878048780488,0.7864693446088795
Exclude_1M_3M,446,24,0.8224723538704581,0.2795895639394731,0.04602712033768447,0.625,0.8791469194312796
Exclude_12Mplus,249,35,0.7610146862483311,0.2826480210966723,0.11159743067435775,0.9142857142857143,0.5280373831775701
Only_3Mplus,446,24,0.8224723538704581,0.2795895639394731,0.04602712033768447,0.625,0.8791469194312796
