Variant,Family,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold,Epochs,Aux_Target,Calibration_Mode,CV_PR_AUC,Best_Params,Round,StopRule_Hits
direct_anchor_Logistic_Reg.,direct_anchor,0.8415407621306656,0.33050692574763696,0.06445334818835405,0.5609756097560976,0.8414376321353065,-0.12023435104410532,1.0277517463793855,0.14999999999999997,,none,none,0.25368580480640657,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}",,
direct_anchor_Elastic_LR,direct_anchor,0.8413345021399475,0.32901464781474815,0.06476462487828312,0.5609756097560976,0.8393234672304439,-0.19080856340518637,0.9886355985822544,0.14999999999999997,,none,none,0.25054100923053674,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}",,
c2_interval_slope,c2,0.843087712061053,0.3215752851413565,0.10798518059495757,0.4878048780487805,0.8604651162790697,-1.6907586224021676,1.0673012873346452,0.49999999999999994,62.0,full,none,,,Round1,2.0
c2_early_late_intercept,c2,0.8412829371422679,0.31420555051216964,0.10113890755980422,0.6097560975609756,0.8118393234672304,-1.6208478387949,0.9814845376488646,0.38999999999999996,66.0,early_late,none,,,Round1,2.0
c1_rule_any,c1,0.8400969421956376,0.3097463283025404,0.09909884405108357,0.8292682926829268,0.7293868921775899,-1.524558206651474,0.7617971667937429,0.25999999999999995,72.0,any_rule,none,,,Round1,1.0
c2_interval_intercept_calibrated,c2,0.8240086629196102,0.2963567396570211,0.064882214730388,0.6585365853658537,0.8456659619450317,0.7243152813199265,1.390256224071375,0.14999999999999997,75.0,full,window_intercept,,,Round1,1.0
c2_interval_intercept,c2,0.837003042334863,0.27275075633570756,0.10189868196918189,0.7073170731707317,0.813953488372093,-1.6619779106277048,0.8423925584705665,0.36999999999999994,71.0,full,none,,,Round1,1.0
c2_interval_slope_windowcal,c2,0.8277729077502192,0.2602345237155223,0.06536781289668174,0.7804878048780488,0.7864693446088795,0.38285469551359996,1.1213119570137857,0.10999999999999999,40.0,full,window_intercept,,,Round2,3.0
c2_interval_slope_ranked,c2,0.8507708967153096,0.329514855542335,0.09533196604428971,0.7317073170731707,0.8033826638477801,-1.4212455412282166,1.262147172433599,0.36,96.0,full,none,,,Round2,2.0
c2_interval_slope_ranked_calibrated,c2,0.8439643170216058,0.30899505776696895,0.06378357076496007,0.6341463414634146,0.8202959830866807,0.8005802281485852,1.485317186867121,0.12999999999999998,86.0,full,global,,,Round2,2.0
c2_early_late_slope,c2,0.8416954571237043,0.3046362079664834,0.0960533259873597,0.6585365853658537,0.8350951374207188,-1.3686480863207857,1.2757254103895772,0.39999999999999997,80.0,early_late,none,,,Round2,2.0
c2_interval_slope,c2,0.8389625122466869,0.30414038251536646,0.09536117819648038,0.5121951219512195,0.879492600422833,-1.4511197258442905,1.0865160797810025,0.45999999999999996,93.0,full,none,,,Round2,1.0
