Mode,Model,CV_PR_AUC,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params
direct_compact,Logistic Reg.,0.23583958774345462,0.8259165678337544,0.2666986652352116,0.738567883729174,0.0646518404559126,0.7317073170731707,0.7906976744186046,0.35294117647058826,0.49417542390631,1.2807224020846746,0.11999999999999998,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}"
direct_compact,Elastic LR,0.2353310227243074,0.8254524828546382,0.2635174532030039,0.7367954626019142,0.06471296040000146,0.7804878048780488,0.7758985200845666,0.3575418994413408,0.40354781657932165,1.2329500474900175,0.11999999999999998,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}"
direct_compact,LightGBM,0.20630745706425846,0.7938431392770586,0.23211983480233747,0.717298830202056,0.09450824277632351,0.5365853658536586,0.813953488372093,0.2913907284768212,-1.4020096034408471,0.44893895637426984,0.22999999999999995,"{'reg_lambda': 0.0, 'reg_alpha': 0.0, 'num_leaves': 15, 'min_child_samples': 10}"
predicted_only_compact,Logistic Reg.,0.23466111968630066,0.8343732274532047,0.26876811596402955,0.7454803261254874,0.06895931131485214,0.8048780487804879,0.758985200845666,0.35106382978723405,6.413608673243834,3.9333081021118783,0.09999999999999999,"{'lr__solver': 'saga', 'lr__penalty': 'l2', 'lr__C': 0.001}"
predicted_only_compact,Elastic LR,0.2401764054502276,0.8258650028360748,0.24793289892196804,0.7415809996455158,0.06524409113964638,0.6585365853658537,0.7970401691331924,0.32926829268292684,0.3679823230862122,1.2867326916619486,0.14999999999999997,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}"
predicted_only_compact,LightGBM,0.22300623447973342,0.7961635641726397,0.2317037931958727,0.7100319035802907,0.0988634780612826,0.8048780487804879,0.678646934460888,0.2920353982300885,-1.4611061699532082,0.45649308659957427,0.09999999999999999,"{'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 15, 'min_child_samples': 40}"
predicted_plus_current_compact,Logistic Reg.,0.2555413534879856,0.8378280822977363,0.30789111826086096,0.7383906416164481,0.06389836471604501,0.8048780487804879,0.7293868921775899,0.32673267326732675,0.289053800735318,1.2230225845045328,0.09999999999999999,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}"
predicted_plus_current_compact,Elastic LR,0.25598462516144954,0.8374155623162998,0.30635421335578383,0.7348457993619284,0.06395912726070238,0.8292682926829268,0.7357293868921776,0.34,0.19541587533906837,1.173632171519965,0.09999999999999999,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}"
predicted_plus_current_compact,LightGBM,0.20906092737640491,0.8125612334347445,0.28945774230157434,0.7344913151364765,0.0768680021475717,0.6097560975609756,0.8202959830866807,0.33112582781456956,-0.89096531039191,0.4041654042243624,0.06999999999999999,"{'reg_lambda': 0.5, 'reg_alpha': 0.1, 'num_leaves': 63, 'min_child_samples': 10}"
