Metric,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.2684564023189217,1.0,0.26838899925142684
AUC,0.829492450785014,1.0,0.8287493513233004
Sensitivity,0.7692307692307693,1.0,0.7692307692307693
Specificity,0.736377789309808,0.9968863518422418,0.7337830825116762
F1,0.322180916976456,0.9825581395348837,0.32019704433497537
