Metric,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.24643840584859178,0.999823881573997,0.211624913803894
AUC,0.796820639741082,0.9999846467053365,0.7942781341448062
Sensitivity,0.5621301775147929,1.0,0.650887573964497
Specificity,0.8329008822003113,0.7130254281266217,0.7768552153606643
F1,0.3242320819112628,0.3793490460157127,0.31029619181946405
