Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.19933596043892146,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7823394122144672,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5384615384615384,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8214841722885314,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.30132450331125826,0.09999999999999999,2096,169
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.26876811596402955,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8343732274532047,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.8048780487804879,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.758985200845666,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.35106382978723405,0.09999999999999999,514,41
BranchA predicted_only_compact,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.24643840584859178,0.14999999999999997,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.796820639741082,0.14999999999999997,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5621301775147929,0.14999999999999997,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8329008822003113,0.14999999999999997,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3242320819112628,0.14999999999999997,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.20082463640790799,0.14999999999999997,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7806413378246838,0.14999999999999997,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5088757396449705,0.14999999999999997,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8391281785158277,0.14999999999999997,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.30442477876106194,0.14999999999999997,2096,169
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.24793289892196804,0.14999999999999997,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8258650028360748,0.14999999999999997,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6585365853658537,0.14999999999999997,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7970401691331924,0.14999999999999997,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.32926829268292684,0.14999999999999997,514,41
BranchA predicted_only_compact,Train_Fit,Train Fit,LightGBM,prauc,PR-AUC,0.999823881573997,0.09999999999999999,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,LightGBM,auc,AUC,0.9999846467053365,0.09999999999999999,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,1.0,0.09999999999999999,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,LightGBM,specificity,Specificity,0.7130254281266217,0.09999999999999999,2096,169
BranchA predicted_only_compact,Train_Fit,Train Fit,LightGBM,f1,F1,0.3793490460157127,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,LightGBM,prauc,PR-AUC,0.21204552800554158,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,LightGBM,auc,AUC,0.764446682613622,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,LightGBM,recall,Sensitivity,0.6272189349112426,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,LightGBM,specificity,Specificity,0.7436429683445771,0.09999999999999999,2096,169
BranchA predicted_only_compact,Validation_OOF,Validation OOF,LightGBM,f1,F1,0.2756827048114434,0.09999999999999999,2096,169
BranchA predicted_only_compact,Test_Temporal,Temporal Test,LightGBM,prauc,PR-AUC,0.2317037931958727,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,LightGBM,auc,AUC,0.7961635641726397,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,LightGBM,recall,Sensitivity,0.8048780487804879,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,LightGBM,specificity,Specificity,0.678646934460888,0.09999999999999999,514,41
BranchA predicted_only_compact,Test_Temporal,Temporal Test,LightGBM,f1,F1,0.2920353982300885,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.26838899925142684,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8287493513233004,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.7692307692307693,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.7337830825116762,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.32019704433497537,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.22680346419125344,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8092199605113262,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.7633136094674556,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.7343020238713025,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.31851851851851853,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.30789111826086096,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8378280822977363,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.8048780487804879,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7293868921775899,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.32673267326732675,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2684564023189217,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.829492450785014,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.7692307692307693,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.736377789309808,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,Elastic LR,f1,F1,0.322180916976456,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.22641056808872717,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.8088453401215367,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.7514792899408284,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.7389724961079398,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.31789737171464333,0.09999999999999999,2096,169
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.30635421335578383,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8374155623162998,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.8292682926829268,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7357293868921776,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.34,0.09999999999999999,514,41
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,LightGBM,prauc,PR-AUC,1.0,0.06999999999999999,2096,169
