Metric,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.24300924669876656,0.9993959142937698,0.24202002595764252
AUC,0.8163960904370469,0.9999477987981441,0.8147317932955234
Sensitivity,0.6745562130177515,1.0,0.6568047337278107
Specificity,0.7711468604047743,0.8546964193046186,0.7799688635184224
F1,0.3149171270718232,0.5469255663430421,0.3153409090909091
