Aggregation,Threshold,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
Product_AnyRisk,0.26000000000000006,0.732836495031617,0.413495429659379,0.1563637743153603,0.6388888888888888,0.6341463414634146,0.055355849819557545,1.1964354735498022
Max_Interval_Risk,0.13,0.7737127371273713,0.5033898073991185,0.15775937545120583,0.9722222222222222,0.44715447154471544,1.871446181955075,2.0000471260235093
Mean_Interval_Risk,0.09000000000000001,0.8313008130081301,0.6529348117298699,0.16460715603062243,0.7222222222222222,0.7398373983739838,3.5873466114778547,2.1702256046907875
