Split,Model,Target,MAE,RMSE,R2
Train_OOF,Ridge,FT3_Next,1.0937217735665423,2.2914122714557497,0.01521028012106862
Train_OOF,Ridge,FT4_Next,2.2792188842607533,3.89774628685775,-0.03482858633593855
Train_OOF,Ridge,logTSH_Next,0.76656029705023,1.0402316001325025,-0.0015554365648964286
Train_OOF,Ridge,Average,1.3798336516258418,2.4097967194820007,-0.00705791425992212
Train_OOF,ElasticNet,FT3_Next,1.0758634373384335,2.2781027965359475,0.026617191648788285
Train_OOF,ElasticNet,FT4_Next,2.257452058678504,3.8816401187527987,-0.026294071148987186
Train_OOF,ElasticNet,logTSH_Next,0.7554345133168281,1.0256638782695962,0.0263003158395545
Train_OOF,ElasticNet,Average,1.362916669777922,2.395135597852781,0.0088744787797852
Train_OOF,RandomForest,FT3_Next,0.9845884930268562,2.196371924990018,0.09520789024767273
Train_OOF,RandomForest,FT4_Next,2.139224008313295,3.791802234348832,0.0206619225049689
Train_OOF,RandomForest,logTSH_Next,0.743141620200973,1.0258107266605945,0.026021478940022935
Train_OOF,RandomForest,Average,1.2889847071803746,2.337994961999815,0.04729709723088819
Train_OOF,ExtraTrees,FT3_Next,0.9859153501749488,2.1964312819993204,0.0951589855255136
Train_OOF,ExtraTrees,FT4_Next,2.1905969960919034,3.8369630740347276,-0.002805076071755286
Train_OOF,ExtraTrees,logTSH_Next,0.7444564655509784,1.0188119946831602,0.03926634138492102
Train_OOF,ExtraTrees,Average,1.306989603939277,2.3507354502390694,0.04387341694622645
Train_OOF,RandomForest_ByWindow,FT3_Next,0.9985606129131716,2.205378953973392,0.08777181018490754
Train_OOF,RandomForest_ByWindow,FT4_Next,2.2033523503775285,3.853910484686422,-0.011683181717681235
Train_OOF,RandomForest_ByWindow,logTSH_Next,0.7632812843090223,1.046047071963865,-0.012785240716716162
Train_OOF,RandomForest_ByWindow,Average,1.321731415866574,2.3684455035412264,0.021101129250170048
Train_OOF,ExtraTrees_ByWindow,FT3_Next,0.9989868224219354,2.2167173237685898,0.07836774029291682
Train_OOF,ExtraTrees_ByWindow,FT4_Next,2.2414571604125832,3.895851140041539,-0.033822530433576636
Train_OOF,ExtraTrees_ByWindow,logTSH_Next,0.7601758730505184,1.037151618599473,0.00436671664998467
Train_OOF,ExtraTrees_ByWindow,Average,1.333539951961679,2.3832400274698675,0.016303975503108286
Train_OOF,EnsembleMean,FT3_Next,0.9880637826049831,2.19765957503089,0.09414668827370298
Train_OOF,EnsembleMean,FT4_Next,2.1409798077974846,3.7935048050760085,0.01978225284891244
Train_OOF,EnsembleMean,logTSH_Next,0.7384071372777987,1.0098287128071146,0.05613401040064325
Train_OOF,EnsembleMean,Average,1.2891502425600887,2.333664364304671,0.056687650507752894
Test,EnsembleMean,FT3_Next,1.1395003368253427,2.8360638241216116,0.10457688301545454
Test,EnsembleMean,FT4_Next,2.3171038253310483,4.296383369755879,0.07645537655016466
Test,EnsembleMean,logTSH_Next,0.7341659101134447,1.01670522543095,0.03505128968046756
Test,EnsembleMean,Average,1.3969233574232787,2.7163841397694806,0.07202784974869558
