Group,Model,CV_PR_AUC,AUC,PR_AUC,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params,C_Index
direct_anchor_ref,Logistic Reg.,0.25368580480640657,0.8415407621306656,0.33050692574763696,0.06445334818835405,0.5609756097560976,0.8414376321353065,0.33093525179856115,-0.12023435104410583,1.0277517463793857,0.14999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}",0.7240340304856434
current_champion_ref,Elastic LR,0.24762692540263384,0.849894291754757,0.34843802167972504,0.06309070447408889,0.6829268292682927,0.8224101479915433,0.3660130718954248,0.7415939890941972,1.4656652698149466,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",0.7589507266926622
champion_sidecar_calibrated,Elastic LR,0.24742362051975564,0.8473676068684577,0.3492956257296246,0.06331066054476522,0.7073170731707317,0.8202959830866807,0.3741935483870968,0.8194700947334744,1.5021593880644555,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",0.7552286423254165
direct_windowed_core,Elastic LR,0.24267687347473285,0.8518021966689011,0.3459456515269599,0.06279933939235843,0.7317073170731707,0.8033826638477801,0.36585365853658536,0.6537327153909721,1.4298546980620106,0.13999999999999999,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",0.7632045373980858
direct_windowed_core_plus_champion_calibrated,Elastic LR,0.24459054069104394,0.8487082968081268,0.3512269429351875,0.06326268468702605,0.7073170731707317,0.8033826638477801,0.3558282208588957,0.8492765464234782,1.5184821195636828,0.13999999999999999,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",0.7557603686635944
stage1_nonhyper_scope_plus_champion_calibrated,Elastic LR,0.2635156402837467,0.843190842056412,0.33195445813971186,0.06349738577235095,0.7073170731707317,0.7906976744186046,0.3431952662721893,0.6749319672603804,1.4416498177425587,0.13999999999999999,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",0.7438851471109535
monotonic_tree_direct_plus_champion_calibrated,Elastic LR,0.21948149935703584,0.8471097818800598,0.270547021173496,0.06433289941604323,0.7073170731707317,0.8033826638477801,0.3558282208588957,0.9576678129708216,1.6413744789932128,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",0.771357674583481
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Elastic LR,0.2791954450529239,0.8408704171608312,0.2653718278995405,0.06493204416679565,0.7560975609756098,0.7843551797040169,0.3563218390804598,0.24746045070596104,1.2200762016800855,0.12999999999999998,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",0.7603686635944701
