Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8500259470679813,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3192660550458716,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3492956257296246,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8473676068684577,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8202959830866807,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3741935483870968,0.14999999999999997,514,41
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22574962332609583,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8120418960704778,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5976331360946746,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8168137000518941,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,f1,F1,0.32423756019261635,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21740084389683487,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7956476480287904,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5680473372781065,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.826673585884795,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.32053422370617696,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.346039789310443,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8518537616665807,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7317073170731707,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8033826638477801,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.36585365853658536,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22744164197088657,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8108689043581863,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6153846153846154,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8116242864556306,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3270440251572327,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21831494633628754,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7991389872352709,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5680473372781065,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8235599377270368,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.31735537190082647,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3512269429351875,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8487082968081268,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8033826638477801,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3558282208588957,0.13999999999999999,514,41
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.24688324968078204,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.814366384882532,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5502958579881657,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8484691229891023,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.33574007220216606,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.23485266630206325,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7999987717364269,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5088757396449705,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8624805396990141,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.33076923076923076,0.15999999999999998,2096,169
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3325414529927026,0.15999999999999998,514,41
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8442737070076831,0.15999999999999998,514,41
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6585365853658537,0.15999999999999998,514,41
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8308668076109936,0.15999999999999998,514,41
TwoStageTransition stage1_nonhyper_scope_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.36486486486486486,0.15999999999999998,514,41
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.21765365885962698,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.7903599733466805,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.514792899408284,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8427607680332122,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3112701252236136,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.20094731842305233,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7749360535277264,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.48520710059171596,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8583290088220031,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.31297709923664124,0.14999999999999997,2096,169
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.27047290402278734,0.14999999999999997,514,41
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8470582168823803,0.14999999999999997,514,41
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.14999999999999997,514,41
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8033826638477801,0.14999999999999997,514,41
TwoStageTransition monotonic_tree_direct_plus_champion_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3558282208588957,0.14999999999999997,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.3000439576317764,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.830597888000786,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5443786982248521,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8661131292163985,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Train_Fit,Train Fit,Elastic LR,f1,F1,0.35452793834296725,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.2571933971779832,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.8024368749289911,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5325443786982249,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8661131292163985,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3481624758220503,0.16999999999999996,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.26193121837958794,0.16999999999999996,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8394265972258032,0.16999999999999996,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6097560975609756,0.16999999999999996,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.86892177589852,0.16999999999999996,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.390625,0.16999999999999996,514,41
